feature,correlation_with_next_congestion_ratio,absolute_correlation,rows_used
txn_to_recent_avg,-0.2184384109,0.2184384109,4996
congestion_flag_low,0.2091771571,0.2091771571,4996
txn_count,-0.2075826476,0.2075826476,4996
gas_used_to_recent_avg,-0.1709507293,0.1709507293,4996
utilization_trend_20,-0.1630629573,0.1630629573,4996
txn_momentum_5_20,-0.1564795136,0.1564795136,4996
rolling_avg_txn_5,-0.1394797424,0.1394797424,4996
gas_used,-0.1386879429,0.1386879429,4996
congestion_ratio,-0.1386834548,0.1386834548,4996
gas_used_percent,-0.1386832334,0.1386832334,4996
short_term_congestion_indicator,0.1337895449,0.1337895449,4996
base_fee_spike_flag,0.132672049,0.132672049,4996
base_fee_to_recent_avg,0.1143858209,0.1143858209,4996
txn_change_1,-0.1015013603,0.1015013603,4996
gas_used_change_1,-0.0884786996,0.0884786996,4996
base_fee_momentum_5_20,0.08710159635,0.08710159635,4996
gas_used_momentum_5_20,-0.0810192071,0.0810192071,4996
congestion_momentum_5_20,-0.08101188333,0.08101188333,4996
rolling_avg_congestion_20,0.07372887485,0.07372887485,4996
rolling_avg_gas_used_20,0.07371805097,0.07371805097,4996
gas_used_volatility_20,0.06404750983,0.06404750983,4996
txn_spike_flag,-0.06344833192,0.06344833192,4996
gas_used_spike_flag,-0.05442478889,0.05442478889,4996
rolling_avg_txn_20,-0.05439454523,0.05439454523,4996
recent_reward_avg_20,0.05289563336,0.05289563336,4996
base_fee_change_1,0.04282070931,0.04282070931,4996
rolling_avg_base_fee_20,-0.04143247217,0.04143247217,4996
congestion_proxy_24h,-0.04090307292,0.04090307292,4996
txn_volatility_20,0.03879682188,0.03879682188,4996
reward_eth,0.03867058965,0.03867058965,4996
blobs_percent,-0.03803653786,0.03803653786,4996
blobs_count,-0.03761645745,0.03761645745,4996
congestion_proxy_1h,-0.03241743391,0.03241743391,4996
block_interval_seconds,0.02853475609,0.02853475609,4995
congestion_flag_high,0.02456713165,0.02456713165,4996
recent_burnt_fees_avg_20,-0.02260460462,0.02260460462,4996
rolling_avg_base_fee_5,-0.02063016157,0.02063016157,4996
burnt_fees_eth,-0.01904320294,0.01904320294,4996
rolling_avg_gas_used_5,-0.01885959641,0.01885959641,4996
rolling_avg_congestion_5,-0.01883717758,0.01883717758,4996
burnt_fees_percent,-0.01381630487,0.01381630487,4996
base_fee_gwei,-0.01344724738,0.01344724738,4996
congestion_proxy_24h_window_blocks,-0.009982712551,0.009982712551,4996
age_seconds_at_scrape,0.009445476251,0.009445476251,4996
base_fee_volatility_20,0.009260706526,0.009260706526,4996
hour_utc,-0.004612274865,0.004612274865,4996
gas_limit,-0.00314884913,0.00314884913,4996
congestion_proxy_1h_window_blocks,-0.002128320849,0.002128320849,4996
day_of_week_utc,-0.0009287905477,0.0009287905477,4996
